Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,final 3rd,PPA,CrsPA,Prog,Matches
28,Courtney Brosnan,ie IRL,GK,West Ham,23,1995,10,24.7,39.6,62.4,737.3,441.5,0.2,0.3,66.7,11.9,12,99.2,126,273,46.2,0,0.02,-0.02,0.1,0.2,0.2,0,0,Matches
29,Georgia Brougham,eng ENG,DF,Birmingham City,23,1996,2,58,66,87.9,1219.5,385.5,0,1,0,41.5,43,96.5,33,44,75,0,0,0,1,2,0,0,4.5,Matches
30,Frankie Brown,sco SCO,"MF,DF",Bristol City,31,1987,12.7,16.1,24.2,66.4,329.1,99.8,0.24,1.18,20,11.7,15.2,77.2,52,99,52.5,0,0.01,-0.01,0.47,1.1,0.08,0,1.42,Matches
31,Laura Brown,eng ENG,FW,Birmingham City,15,2003,0,1,1,100,9,3,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
32,Faye Bryson,eng ENG,DF,Bristol City,,,2.3,35.2,47.4,74.3,615.7,278.7,0,1.74,0,29.1,33.5,87,14,28,50,0,0,0,0,3.04,0.43,0.43,3.91,Matches
33,Danielle Buet,eng ENG,MF,Brighton,30,1988,14.9,22.1,30.5,72.7,436.8,135.3,0.94,1.68,56,15.8,19.5,80.8,81,138,58.7,0,0.03,-0.03,0.4,2.15,0.34,0.07,3.02,Matches
34,Hannah Cain,eng ENG,FW,Everton,20,1999,6.1,13.9,23.1,60.3,192.3,50.5,0.98,2.79,35.3,11.6,17.2,67.6,8,19,42.1,0.16,0.11,0.05,1.48,0.98,0.66,0.16,2.46,Matches
35,Megan Campbell,ie IRL,DF,Manchester City,26,1993,3.7,44.3,57.8,76.6,938.4,333.8,0.27,2.16,12.5,31.6,35.7,88.6,46,74,62.2,0,0.03,-0.03,0.54,4.05,1.35,0,5.41,Matches
36,Jessica Carter,eng ENG,"MF,DF",Chelsea,21,1997,1.8,59.4,67.8,87.7,1427.8,419.4,0,1.11,0,36.7,39.4,93,41,49,83.7,0.56,0.11,0.44,0.56,5.56,1.11,0.56,6.11,Matches
37,Olivia Chance,nz NZL,"MF,FW",Bristol City,25,1993,11.3,21.2,27.6,76.6,422.3,87.2,0.53,1.24,42.9,15,17.6,85.4,63,99,63.6,0,0.02,-0.02,0.44,1.5,0.27,0,2.3,Matches
38,Brooke Chaplen,eng ENG,FW,Reading,30,1989,11.2,13.9,20.4,68.4,191.7,41.1,0.8,1.96,40.9,11.9,15.4,76.9,14,33,42.4,0.09,0.08,0.01,0.89,0.89,0.63,0.18,1.52,Matches
39,Niamh Charles,eng ENG,"FW,MF",Liverpool,20,1999,11.9,17.4,26.9,64.7,259.4,71.3,0.25,1.85,13.6,15.4,20.5,75,21,54,38.9,0,0.03,-0.03,0.84,1.26,0.34,0.17,1.76,Matches
40,Jessica Clarke,eng ENG,"FW,MF",Liverpool,30,1989,4,14.5,23.5,61.7,221.5,59.5,0.75,2,37.5,12.5,18.3,68.5,5,13,38.5,0,0.2,-0.2,1,0.75,1,0.5,2.5,Matches
41,Maéva Clemaron,fr FRA,MF,Everton,26,1992,10.9,30.8,42.9,71.8,533.7,179.4,1.1,2.29,48,24.1,30.6,78.7,61,109,56,0,0.06,-0.06,0.55,3.3,0.55,0,4.86,Matches
42,Maisy Collis,,MF,Bristol City,,,0.4,22.5,35,64.3,437.5,197.5,0,0,,17.5,20,87.5,2,6,33.3,0,0,0,0,0,2.5,0,2.5,Matches
43,Megan Connolly,ie IRL,MF,Brighton,22,1997,6.6,20.2,29.8,67.5,350.8,111.2,0.76,2.42,31.3,15.6,21.1,74.1,25,42,59.5,0.15,0.11,0.05,0.76,2.73,0,0,2.73,Matches
44,Laura Coombs,eng ENG,"MF,FW",Manchester City,28,1991,1.1,27.3,39.1,69.8,348.2,56.4,3.64,5.45,66.7,20.9,29.1,71.9,3,5,60,0,0,0,0.91,0,0.91,0,2.73,Matches
45,Deanna Cooper,eng ENG,MF,Chelsea,,,0.3,53.3,63.3,84.2,963.3,266.7,0,0,,43.3,46.7,92.9,3,5,60,0,0,0,0,0,0,0,6.67,Matches
46,Erin Cuthbert,sco SCO,"MF,FW",Chelsea,21,1998,11.9,29.4,44.2,66.5,576.6,187.5,0.76,2.77,27.3,21.8,26.4,82.5,82,179,45.8,0.34,0.37,-0.03,2.44,2.27,1.26,0.59,5.88,Matches
47,Kenza Dali,fr FRA,"MF,FW",West Ham,28,1991,13,31.2,43.1,72.3,541.7,154.6,1.08,3.62,29.8,24,29.4,81.7,79,131,60.3,0.23,0.13,0.1,1.31,2.69,1,0.38,4.69,Matches
48,Yana Daniels,be BEL,"MF,FW",Bristol City,27,1992,13,15.8,27.7,57.2,290.5,95.5,0.31,1.69,18.2,12.2,17.5,69.6,44,111,39.6,0.08,0.03,0.05,0.85,1.69,0.15,0,3.23,Matches
49,Gemma Davison,eng ENG,"MF,FW",Tottenham,32,1987,9.7,18.6,28.1,65.9,357.5,118.5,0.62,1.55,40,13.5,18.4,73.6,43,80,53.8,0.1,0.05,0.05,1.24,1.86,0.82,0.1,4.33,Matches
50,Rianna Dean,eng ENG,FW,Tottenham,20,1998,12.6,11.5,15.8,72.9,186.7,20.2,0.56,1.27,43.8,9.05,12,75.5,24,32,75,0,0.01,-0.01,0.24,0.24,0.16,0,0.63,Matches
51,Vita van der Linden,nl NED,MF,Bristol City,22,1997,0.6,15,16.7,90,173.3,15,3.33,5,66.7,10,10,100,1,1,100,0,0,0,0,0,0,0,0,Matches
52,Daniëlle van de Donk,nl NED,"FW,MF",Arsenal,27,1991,14.2,36,45.8,78.5,566,159.5,0.99,2.11,46.7,30.7,35.9,85.5,61,111,55,0.28,0.25,0.04,1.41,2.89,2.18,0.14,5.56,Matches
53,Loren Dykes,wal WAL,DF,Bristol City,31,1988,9.3,16.5,28.3,58.2,287,155.8,0.32,1.29,25,13.2,20.1,65.8,27,64,42.2,0,0.01,-0.01,0.22,1.18,0.22,0.22,3.66,Matches
54,Mary Earps,eng ENG,GK,Manchester Utd,26,1993,14,25.4,35.6,71.3,769.3,422.7,0,0.07,0,12,12.2,98.2,187,326,57.4,0,0,0,0,0.29,0,0,0,Matches
55,Amalie Eikeland,no NOR,FW,Reading,23,1995,12.2,15.7,22.9,68.5,199.8,60.7,1.64,3.36,48.8,13.2,16.9,78.2,10,32,31.3,0.16,0.09,0.07,0.74,0.57,0.74,0.25,1.89,Matches
56,Bethany England,eng ENG,FW,Chelsea,25,1994,14.7,17.1,25,68.5,265.4,60.1,0.34,1.9,17.9,14.5,19.1,75.8,34,59,57.6,0.27,0.19,0.08,1.22,0.88,0.95,0.14,2.11,Matches
57,Adelina Engman,fi FIN,"FW,MF",Chelsea,24,1994,0.9,18.9,24.4,77.3,206.7,20,1.11,2.22,50,17.8,21.1,84.2,0,1,0,0,0.22,-0.22,1.11,0,0,0,0,Matches
58,Magdalena Eriksson,se SWE,DF,Chelsea,25,1993,14,49.4,59.1,83.5,1198.3,372.1,0.07,0.57,12.5,28.6,32.1,89.3,289,371,77.9,0,0.02,-0.02,0.36,4.43,0.43,0,5.36,Matches
59,Kika van Es,nl NED,DF,Everton,27,1991,7.1,36.1,48.9,73.8,760.3,306.1,0.42,0.99,42.9,26.1,30.7,84.9,68,122,55.7,0,0.06,-0.06,0.42,1.41,0.28,0,2.39,Matches
60,Gemma Evans,wal WAL,DF,Bristol City,22,1996,11.2,22.7,35,64.8,490.3,227,0.36,1.43,25,15.9,20.8,76.4,72,143,50.3,0,0.01,-0.01,0.27,1.16,0,0,4.38,Matches
61,Lisa Evans,sco SCO,"DF,FW",Arsenal,27,1992,14.1,47.8,61.1,78.2,735.9,283.7,0.85,2.48,34.3,42,50.6,83,70,114,61.4,0.35,0.23,0.13,1.56,2.62,1.91,0.57,7.94,Matches
62,Niamh Fahey,ie IRL,DF,Liverpool,31,1987,12.7,29,37,78.3,624.1,213.5,0.39,0.94,41.7,19.5,23,84.9,115,166,69.3,0,0.01,-0.01,0.31,1.34,0.16,0,2.2,Matches
63,Millie Farrow,eng ENG,FW,Reading,23,1996,3,13.7,22.3,61.2,162.3,52,0.33,2,16.7,13.3,18.7,71.4,0,5,0,0,0.1,-0.1,1,1,0.33,0,2,Matches
64,Matilde Fidalgo,pt POR,DF,Manchester City,25,1994,0.7,41.4,50,82.9,675.7,340,1.43,4.29,33.3,31.4,35.7,88,6,7,85.7,0,0,0,0,2.86,1.43,1.43,7.14,Matches
65,Anna Filbey,wal WAL,DF,Tottenham,19,1999,12.8,31,41.3,75,779.5,266.3,0.16,1.17,13.3,16.2,19.2,84.1,188,268,70.1,0,0.02,-0.02,0.31,1.09,0.23,0,1.48,Matches
66,Melisa Filis,eng ENG,FW,Arsenal,17,2002,0,2,4,50,30,18,0,1,0,2,3,66.7,0,0,,0,0,0,0,0,0,0,1,Matches
67,Megan Finnigan,eng ENG,DF,Everton,21,1998,10,33.8,43.7,77.3,753.9,320.9,0.5,1.3,38.5,22.8,26.7,85.4,105,157,66.9,0,0,0,0,1.7,0.1,0,3.1,Matches
68,Grace Fisk,eng ENG,DF,West Ham,21,1998,4.7,32.1,40.2,79.9,683.6,268.1,0.21,0.64,33.3,21.9,25.7,85.1,47,65,72.3,0,0,0,0,1.49,0,0,3.4,Matches
69,Gilly Flaherty,eng ENG,DF,West Ham,27,1991,14,31.6,40.1,78.6,731.5,299.1,0.29,0.86,33.3,19.6,22.9,85.7,163,229,71.2,0,0.03,-0.03,0.21,1.36,0,0,3.5,Matches
