Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
93,Abigail Harrison,sco SCO,FW,Bristol City,21,1997,4,0.25,0,0,1.25,0.75,0,60,0.32,0.19,0.2,0.33,0.07,0.07,0.05,0.17,0.17,Matches
94,Kerys Harrop,eng ENG,DF,Birmingham City,28,1990,6.2,0.16,0,0,0.65,0.16,0,25,0.1,0.03,0.25,1,0.02,0.02,0.03,0.15,0.15,Matches
95,Lauren Hemp,eng ENG,"MF,FW",Manchester City,18,2000,12.6,0.4,0,0,1.83,0.71,0,39.1,0.14,0.06,0.22,0.56,0.33,0.33,0.18,0.06,0.06,Matches
96,Brooke Hendrix,us USA,DF,West Ham,26,1993,4.5,0,0,0,0.22,0,0,0,0.05,0,0,,0,0,0.03,0,0,Matches
97,Taylor Hinds,eng ENG,DF,Everton,19,1999,2.4,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
98,Ashley Hodson,eng ENG,FW,Liverpool,24,1995,2.7,0,0,0,0.74,0,0,0,0.27,0,0,,0.04,0.04,0.03,-0.04,-0.04,Matches
99,Rebecca Holloway,nir NIR,DF,Birmingham City,23,1995,10.8,0,0,0,0.37,0.09,0.09,25,0.03,0.01,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
100,Rakel Hönnudóttir,is ISL,FW,Reading,30,1988,0.5,0,0,0,2,2,0,100,4,4,0,0,0,0,0.04,0,0,Matches
101,Steph Houghton,eng ENG,DF,Manchester City,31,1988,16,0.13,0,0,0.63,0.19,0.13,30,0.04,0.01,0.2,0.67,0.08,0.08,0.13,0.04,0.04,Matches
102,Sophie Howard,sco SCO,DF,Reading,25,1993,10.1,0,0,0,0.3,0,0,0,0.03,0,0,,0.01,0.01,0.04,-0.01,-0.01,Matches
103,Elise Hughes,wal WAL,"MF,FW",Bristol City,18,2001,1.8,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
104,Elise Hughes,wal WAL,FW,Everton,18,2001,1.1,0,0,0,0.91,0,0,0,0.81,0,0,,0.09,0.09,0.1,-0.09,-0.09,Matches
105,Carla Humphrey,eng ENG,"MF,DF",Bristol City,22,1996,7.7,0,0,0,1.3,0.26,0,20,0.17,0.03,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
106,Sophie Ingle,wal WAL,MF,Chelsea,27,1991,14.1,0.28,0,0,1.13,0.35,0,31.3,0.08,0.02,0.25,0.8,0.17,0.17,0.15,0.11,0.11,Matches
107,Angharad James,wal WAL,"MF,DF",Reading,25,1994,12.6,0.08,0,0,0.63,0.16,0,25,0.05,0.01,0.13,0.5,0.03,0.03,0.05,0.05,0.05,Matches
108,Lauren James,eng ENG,FW,Manchester Utd,17,2001,8.9,0.67,0,0,3.48,2.25,0.11,64.5,0.39,0.25,0.19,0.3,0.37,0.37,0.11,0.3,0.3,Matches
109,Rebecca Jane,eng ENG,DF,Liverpool,27,1992,14,0,0,0,0.29,0.07,0,25,0.02,0.01,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
110,Adrienne Jordan,us USA,DF,Birmingham City,25,1994,13,0,0,0,0.15,0.08,0,50,0.01,0.01,0,0,0.02,0.02,0.15,-0.02,-0.02,Matches
111,Inessa Kaagman,nl NED,"FW,MF",Everton,23,1996,11,0.09,0,0,1.64,0.36,0.18,22.2,0.15,0.03,0.06,0.25,0.15,0.15,0.09,-0.06,-0.06,Matches
112,Lisa-Marie Karlseng Utland,no NOR,"FW,MF",Reading,26,1992,3.9,0.26,0,0,1.28,0.26,0,20,0.33,0.06,0.2,1,0.15,0.15,0.12,0.1,0.1,Matches
113,Chloe Kelly,eng ENG,FW,Everton,21,1998,11.8,0.76,0,0,3.81,1.27,0.17,33.3,0.32,0.11,0.2,0.6,0.42,0.42,0.11,0.35,0.35,Matches
114,Danique Kerkdijk,nl NED,DF,Brighton,23,1996,13,0.08,0,0,0.23,0.15,0,66.7,0.02,0.01,0.33,0.5,0.05,0.05,0.19,0.03,0.03,Matches
115,Sam Kerr,au AUS,"FW,MF",Chelsea,25,1993,3.3,0.3,0,0,3.94,1.82,0,46.2,1.19,0.55,0.08,0.17,1,1,0.25,-0.7,-0.7,Matches
116,Leanne Kiernan,ie IRL,"FW,MF",West Ham,20,1999,5.8,0.17,0,0,0.86,0.34,0,40,0.15,0.06,0.2,0.5,0.16,0.16,0.17,0.02,0.02,Matches
117,Fran Kirby,eng ENG,"MF,FW",Chelsea,26,1993,2.2,0,0,0,4.55,2.73,0,60,2.11,1.26,0,0,0.36,0.36,0.08,-0.36,-0.36,Matches
118,Wiktoria Kiszkis,pl POL,FW,West Ham,16,2003,0,0,0,0,1,0,0,0,,,0,,0,0,0.03,0,0,Matches
119,Frances Kitching,eng ENG,GK,Liverpool,21,1998,4,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
120,Tinja-Riikka Korpela,fi FIN,GK,Everton,33,1986,11,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
121,Cecilie Kvamme,no NOR,DF,West Ham,23,1995,10.8,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
122,Hayley Ladd,wal WAL,MF,Manchester Utd,25,1993,13.7,0,0,0,1.02,0.22,0,21.4,0.07,0.02,0,0,0.06,0.06,0.06,-0.06,-0.06,Matches
123,Melissa Lawley,eng ENG,"MF,FW",Liverpool,25,1994,13.5,0.07,0.07,0.15,1.56,0.52,0.15,33.3,0.12,0.04,0,0,0.19,0.07,0.05,-0.12,-0.07,Matches
124,Rachael Laws,eng ENG,GK,Reading,28,1990,4.8,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
125,Léa Le Garrec,fr FRA,"MF,FW",Brighton,26,1993,13.1,0.08,0,0,2.75,0.84,0.15,30.6,0.21,0.06,0.03,0.09,0.14,0.14,0.05,-0.06,-0.06,Matches
126,Maya Le Tissier,eng ENG,"DF,MF",Brighton,17,2002,8.7,0,0,0,0.23,0,0,0,0.03,0,0,,0.01,0.01,0.03,-0.01,-0.01,Matches
127,Alisha Lehmann,ch SUI,"FW,MF",West Ham,20,1999,10.7,0.28,0,0,1.5,0.75,0,50,0.14,0.07,0.19,0.38,0.22,0.22,0.15,0.06,0.06,Matches
128,Kristine Leine,no NOR,DF,Reading,23,1996,11,0.09,0,0,0.36,0.09,0,25,0.03,0.01,0.25,1,0.06,0.06,0.17,0.03,0.03,Matches
129,Adriana Leon,ca CAN,"FW,MF",West Ham,26,1992,7.1,0.7,0,0,2.68,0.85,0,31.6,0.37,0.12,0.26,0.83,0.34,0.34,0.12,0.37,0.37,Matches
130,Lucia Leon,eng ENG,"DF,FW",Tottenham,21,1998,1.6,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
131,Kirsty Linnett,eng ENG,"MF,FW",Liverpool,25,1993,6.9,0,0,0,2.46,1.3,0.29,52.9,0.36,0.19,0,0,0.14,0.14,0.06,-0.14,-0.14,Matches
132,Kim Little,sco SCO,MF,Arsenal,29,1990,11.7,0.43,0.09,0.09,1.2,0.85,0.09,71.4,0.1,0.07,0.29,0.4,0.22,0.15,0.13,0.21,0.19,Matches
133,Ruesha Littlejohn,ie IRL,"MF,FW",West Ham,29,1990,0.3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
134,Chloe Logarzo,au AUS,MF,Bristol City,24,1994,1,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
135,Kate Longhurst,eng ENG,MF,West Ham,30,1989,10.7,0,0,0,0.84,0.28,0,33.3,0.08,0.03,0,0,0.07,0.07,0.08,-0.07,-0.07,Matches
136,Matilde Lundorf,dk DEN,"DF,MF",Brighton,20,1999,6.6,0,0,0,1.06,0.15,0,14.3,0.16,0.02,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
137,Simone Magill,nir NIR,FW,Everton,24,1994,10,0,0,0,1.4,0.6,0,42.9,0.14,0.06,0,0,0.22,0.22,0.16,-0.22,-0.22,Matches
138,Leonie Maier,de GER,DF,Arsenal,26,1992,7.6,0,0,0,0.92,0.26,0,28.6,0.12,0.03,0,0,0.08,0.08,0.09,-0.08,-0.08,Matches
139,Aoife Mannion,eng ENG,DF,Manchester City,23,1995,4,0,0,0,0.25,0,0,0,0.06,0,0,,0.03,0.03,0.14,-0.03,-0.03,Matches
140,Jasmine Matthews,eng ENG,"DF,MF",Bristol City,26,1993,13,0,0,0,0.23,0.08,0,33.3,0.02,0.01,0,0,0.02,0.02,0.08,-0.02,-0.02,Matches
